netID,tau,sigma,modularity,clustering,avg_Path,assortativity,core_periphery,page_rank,cost1,cost2,cost3,cost4
1,0,2.445362546,0.38210555555556,0.06584559884560,2.80242424242424,0.05179364052768,0.30666666666667,1.82354352784463,14.7482686,23.76207576,53.89020405,124.5432049
2,0,2.309313598,0.35919061308039,0.05283494283494,2.73939393939394,-0.06355466898404,0.29819397993311,2.13355911952602,13.5446092,23.08329315,52.40325391,124.1417822
3,0,2.456983451,0.37024566654196,0.07002075702076,2.79191919191919,-0.01085916386541,0.32127946127946,2.15943462905563,14.13780857,23.21365618,52.70706635,120.9418313
4,0,2.339817829,0.36246111111112,0.06649095349095,2.72222222222222,-0.02270329056067,0.29333333333333,1.99755310556583,13.512572,23.08181092,52.84228592,126.5069402
5,0,2.36975897,0.34021431527612,0.06133111333111,2.75333333333333,-0.00617800819116,0.30153846153846,2.12454033388378,13.89714857,23.29554354,53.16379604,121.8995502
6,0,2.299846284,0.38449024475960,0.07119841269841,2.79070707070707,0.01770021102323,0.30781144781145,1.76963931935844,14.16076732,23.41594583,53.53149809,123.0633616
7,0,2.344130861,0.35767222222222,0.06522294372294,2.78505050505051,0.04400101907478,0.30333333333333,1.79222621083103,13.76490647,23.0634866,52.89407112,123.8622176
8,0,2.472801544,0.36961856281958,0.06469724719725,2.74706246134818,-0.07333061061280,0.32770270270270,1.96480534347393,14.28854178,23.67628875,53.01857986,125.2990294
9,0,2.449159823,0.36755101121571,0.05655772005772,2.73696969696970,0.03337884314186,0.33208053691275,1.83836080965892,13.82084976,23.29468712,53.00401757,124.5179356
10,0,1.964225501,0.37255176116598,0.05975829725830,2.76242424242424,-0.10672366911141,0.24829431438127,1.87228251487986,13.24784006,22.8289963,53.33066116,122.5570753
11,0,2.205685949,0.35847249146912,0.05973448773449,2.72747887033601,-0.00033449721209,0.29333333333333,1.85364306450474,14.18878796,23.71690854,54.31301888,119.2222645
12,0,2.615725559,0.38068389335281,0.06322949272949,2.78060606060606,-0.02910957039545,0.34121621621622,1.94131161764897,14.44399806,23.54977536,51.83747674,123.6331304
